iter	F1	Logloss
0	0.7091551324	0.6867692977
1	0.5598244637	0.6792119488
2	0.5598244637	0.6747239096
3	0.6181634955	0.6688235822
4	0.5598244637	0.6649059653
5	0.6958633597	0.6598739064
6	0.6953833674	0.6564296797
7	0.6978935404	0.6544026052
8	0.6910307351	0.6514469497
9	0.6988458318	0.6479252527
10	0.6977506125	0.6470545382
11	0.6947662494	0.644973553
12	0.6910024241	0.6417861477
13	0.6814905521	0.6409580852
14	0.6894929308	0.6399835219
15	0.6971017437	0.6387197572
16	0.6913198225	0.6368940688
17	0.6869850014	0.6359823803
18	0.6877206273	0.6340304432
19	0.6860998337	0.6317962109
20	0.6947761758	0.6310052426
21	0.6919825617	0.6302574939
22	0.6919674243	0.6293607298
23	0.691736807	0.6276510814
24	0.6925917127	0.6270532592
25	0.6921234871	0.6265502609
26	0.6916220424	0.6258295989
27	0.6925452085	0.6253633791
28	0.6909990695	0.6248894218
29	0.6912993339	0.6242981225
30	0.6902030967	0.622824624
31	0.6873331006	0.6224495092
32	0.6866741197	0.6219323472
33	0.6884332118	0.62086861
34	0.6871289728	0.6204274892
35	0.687356041	0.619976656
36	0.6872314609	0.6196141742
37	0.6867399408	0.6191731951
38	0.6874150549	0.6189332983
39	0.6868664587	0.6185093218
40	0.6867289225	0.618119989
41	0.687629762	0.6177725149
42	0.687629762	0.6174117438
43	0.6876533309	0.6170483176
44	0.687585194	0.6158029963
45	0.6887896599	0.6147078045
46	0.6880964009	0.6145011229
47	0.6912390075	0.6142006889
48	0.6922127538	0.6139247878
49	0.6929093863	0.6135651097
50	0.6944983574	0.613139911
51	0.6927980846	0.6129746211
52	0.6912390075	0.6125817872
53	0.689428677	0.6123102837
54	0.6914775783	0.6121142445
55	0.6912390075	0.6117924461
56	0.6916556415	0.6107281104
57	0.6937934873	0.6104070431
58	0.6910800516	0.6101131532
59	0.6912538166	0.6099358888
60	0.690885198	0.6097913865
61	0.6915076473	0.6095546843
62	0.6896146864	0.609282847
63	0.6889493201	0.6089995742
64	0.6888024382	0.6088614388
65	0.6876323768	0.6086950012
66	0.6896958608	0.6084814839
67	0.6911981107	0.6083424481
68	0.691743415	0.6081517259
69	0.6911477211	0.6079887259
70	0.6915444569	0.6077298436
71	0.6928034948	0.6075275648
72	0.6929320479	0.6073444541
73	0.6910697859	0.60722715
74	0.6886731119	0.6070917987
75	0.690930667	0.6070134219
76	0.690213493	0.6067944208
77	0.6900119713	0.6066421067
78	0.6881692462	0.606459625
79	0.6877880414	0.606266867
80	0.6891175294	0.6061217406
81	0.6889106229	0.6060067971
82	0.6897975838	0.6058390966
83	0.6910505159	0.6057037474
84	0.6910656177	0.6055518363
85	0.6906852736	0.6054529632
86	0.6895932673	0.6053071198
87	0.6905358137	0.6051618503
88	0.6914247575	0.6050390861
89	0.6921014414	0.6048812209
90	0.6925288201	0.6047258907
91	0.6921691151	0.6046394178
92	0.6930860056	0.6045589967
93	0.6924632013	0.604263943
94	0.6915736931	0.6041013633
95	0.6913425144	0.604039633
96	0.6914557569	0.6039007727
97	0.6915381711	0.6035793933
98	0.6922320501	0.6034573199
99	0.6915893023	0.6033931339
100	0.6915893023	0.6032431776
101	0.6920673434	0.6031854074
102	0.6920834071	0.6031185715
103	0.6920010073	0.6031053908
104	0.6916873172	0.6030715474
105	0.6916049396	0.6029490507
106	0.6915694344	0.6028483175
107	0.6901148876	0.6027464415
108	0.6915024656	0.6025971883
109	0.6919825623	0.6024936991
110	0.6922144199	0.6024474164
111	0.6926773813	0.6023655974
112	0.692198193	0.6023175808
113	0.692131772	0.6022665813
114	0.6926940367	0.6021236839
115	0.692545209	0.6020592154
116	0.6931077828	0.6019933725
117	0.6922306761	0.6019272371
118	0.6933562678	0.6018785617
119	0.6917504529	0.601715291
120	0.6916677707	0.6016473505
121	0.6922970875	0.6015244232
122	0.6922306761	0.6014601578
123	0.6920652471	0.6013426494
124	0.6908720927	0.6012639086
125	0.6916008104	0.6006273296
126	0.6912700526	0.6005368578
127	0.6916993565	0.6004249083
128	0.6921479517	0.6002826237
129	0.6915024656	0.6002074139
130	0.6919158766	0.6001466943
131	0.6918331549	0.6001341045
132	0.6911047923	0.6000777463
133	0.6917663081	0.5999450295
134	0.6911353632	0.5998436448
135	0.6918331549	0.5997068183
136	0.6920147031	0.5996305063
137	0.6924126229	0.5995463849
138	0.6925783635	0.5994083331
139	0.6914822088	0.5993592588
140	0.692030817	0.5993226262
141	0.6919318849	0.599255377
142	0.691435392	0.5991594055
143	0.6917663081	0.5991064833
144	0.6927935084	0.5988652557
145	0.6931077828	0.5987118989
146	0.6927274377	0.5986283495
147	0.6922469616	0.5985415541
148	0.6916008104	0.5984671433
149	0.6917663081	0.5983594114
150	0.6919318849	0.598278549
151	0.692097541	0.5981710732
152	0.6918490866	0.5981600361
153	0.6921803988	0.5981182575
154	0.6921137318	0.5980520584
155	0.6913992993	0.5979290557
156	0.6913992993	0.5978358555
157	0.692030817	0.5976867494
158	0.691466575	0.5976533144
159	0.6909850499	0.5975650691
160	0.6909850499	0.5974936314
161	0.6907517095	0.5974459125
162	0.6912489714	0.5973348156
163	0.6915651382	0.5972496885
164	0.6915651382	0.5971417846
165	0.6914822088	0.5970589259
166	0.6923625953	0.596981857
167	0.6920469601	0.5968552508
168	0.6923790464	0.5967611604
169	0.6922129634	0.5967022262
170	0.6915651382	0.5966560948
171	0.6919639883	0.5966121054
172	0.6930931459	0.5965231296
173	0.6931762423	0.5964107797
174	0.6929930624	0.5963920469
175	0.6930760618	0.5963481996
176	0.6932421202	0.5960504983
177	0.6933251793	0.5959296219
178	0.6932593586	0.5958264376
179	0.6930271073	0.5957908779
180	0.6930271073	0.5957532321
181	0.6928608597	0.5957116216
182	0.6931762423	0.5956189716
183	0.6928608597	0.5956005554
184	0.6928608597	0.5955671839
185	0.6934913571	0.595520876
186	0.6932593586	0.595477294
187	0.6933772203	0.5952953769
188	0.6935614277	0.5952210797
189	0.6929287003	0.5951430727
190	0.6925285305	0.5950388059
191	0.6927787944	0.594984783
192	0.6939131726	0.5948905327
193	0.6933460206	0.5948426246
194	0.6941639948	0.5947282314
195	0.6931299854	0.5946718686
196	0.6938474689	0.5945338719
197	0.69344705	0.5945029236
198	0.6936979783	0.5943976246
199	0.6951690993	0.5941808826
200	0.6946196046	0.5940902667
201	0.6938173942	0.5940169431
202	0.6940690358	0.5939700561
203	0.6951042688	0.5938352585
204	0.6951042688	0.5938155637
205	0.6956923348	0.5937427417
206	0.6954595744	0.5936838131
207	0.695291418	0.5935671379
208	0.6938532574	0.5935182117
209	0.6949743	0.5934902007
210	0.693283131	0.5934073269
211	0.6938712382	0.5933824159
212	0.694694352	0.5932929969
213	0.694291926	0.5932339339
214	0.6930831581	0.5931004196
215	0.694460344	0.5929494322
216	0.6933180846	0.5929186018
217	0.6933180846	0.5928051439
218	0.6932514385	0.5927501244
219	0.6937388496	0.5927186476
220	0.6937388496	0.5926535393
221	0.694291926	0.5926042876
222	0.6941418409	0.5925574485
223	0.6927638449	0.592512576
224	0.6933356094	0.5924533553
225	0.6921243938	0.5923726784
226	0.6924610052	0.5921191088
227	0.6922926586	0.5920206868
228	0.6923768217	0.5918724879
229	0.6936724974	0.5918327312
230	0.69187215	0.5917361924
231	0.6921243938	0.5912696972
232	0.6920402921	0.5912693163
233	0.69162009	0.5912384306
234	0.692343514	0.5911345177
235	0.6920239393	0.5910966448
236	0.692343514	0.5910488103
237	0.6912159912	0.5910277049
238	0.6918559551	0.5909335239
239	0.6918559551	0.5909117367
240	0.6932339929	0.5907813505
241	0.6933180846	0.5907009242
242	0.6930831581	0.5906798656
243	0.6932339929	0.5906366578
244	0.6935704823	0.5905650961
245	0.6942260781	0.5905407541
246	0.6943103358	0.5905080239
247	0.6943103358	0.5903932724
248	0.6954142133	0.5902687651
249	0.6955827272	0.5902212583
250	0.6956473956	0.5901417202
251	0.695329987	0.5900722048
252	0.6955827272	0.5900213953
253	0.6949470781	0.5899822819
254	0.6954336301	0.5899146656
255	0.6954336301	0.5898243677
256	0.6962374247	0.5896384308
257	0.6968921948	0.5895646011
258	0.6968921948	0.5895451762
259	0.6968921948	0.5894234074
260	0.6980109905	0.5893507737
261	0.6978636629	0.5892687008
262	0.6982239291	0.5891149641
263	0.6973146777	0.5890554058
264	0.6975684134	0.5889897537
265	0.6973146777	0.5888798483
266	0.6971666383	0.5888249253
267	0.6965110155	0.5887701597
