iter	Passed	Remaining
0	10	7185
1	18	6528
2	39	9236
3	47	8323
4	57	8024
5	71	8261
6	80	8001
7	91	7930
8	101	7768
9	111	7710
10	121	7639
11	131	7545
12	141	7457
13	151	7401
14	160	7328
15	172	7369
16	182	7324
17	192	7286
18	202	7257
19	227	7736
20	237	7676
21	246	7605
22	256	7537
23	266	7495
24	276	7460
25	286	7424
26	307	7655
27	316	7599
28	337	7819
29	347	7754
30	356	7688
31	365	7627
32	375	7579
33	385	7558
34	396	7538
35	406	7506
36	417	7475
37	429	7483
38	441	7478
39	454	7491
40	466	7498
41	478	7497
42	490	7490
43	503	7510
44	515	7505
45	528	7513
46	541	7524
47	554	7527
48	567	7533
49	579	7532
50	592	7541
51	604	7534
52	617	7532
53	628	7517
54	639	7501
55	651	7486
56	662	7470
57	674	7468
58	687	7470
59	699	7459
60	711	7457
61	722	7438
62	734	7426
63	744	7397
64	754	7367
65	778	7475
66	787	7441
67	797	7411
68	807	7382
69	817	7354
70	827	7329
71	836	7299
72	848	7291
73	863	7303
74	875	7295
75	886	7280
76	897	7260
77	909	7251
78	921	7242
79	932	7225
80	942	7200
81	951	7172
82	961	7149
83	971	7126
84	982	7105
85	994	7098
86	1004	7074
87	1013	7048
88	1023	7024
89	1032	7000
90	1043	6980
91	1052	6956
92	1062	6936
93	1072	6915
94	1091	6950
95	1101	6933
96	1123	6985
97	1133	6963
98	1143	6943
99	1153	6921
100	1163	6898
101	1172	6875
102	1182	6854
103	1190	6822
104	1203	6820
105	1215	6813
106	1226	6797
107	1237	6783
108	1249	6774
109	1261	6763
110	1271	6747
111	1283	6739
112	1295	6731
113	1313	6751
114	1325	6741
115	1336	6727
116	1347	6713
117	1358	6699
118	1369	6684
119	1390	6721
120	1402	6710
121	1413	6696
122	1427	6698
123	1440	6691
124	1452	6679
125	1464	6672
126	1477	6665
127	1489	6657
128	1501	6645
129	1510	6623
130	1519	6602
131	1529	6582
132	1539	6561
133	1549	6543
134	1563	6543
135	1573	6526
136	1583	6508
137	1594	6491
138	1604	6474
139	1614	6458
140	1624	6439
141	1634	6421
142	1644	6404
143	1658	6403
144	1668	6386
145	1678	6369
146	1688	6351
147	1698	6334
148	1708	6317
149	1717	6299
150	1727	6281
151	1737	6265
152	1744	6237
153	1754	6222
154	1764	6203
155	1774	6186
156	1784	6170
157	1793	6153
158	1803	6135
159	1813	6120
160	1823	6104
161	1833	6088
162	1843	6072
163	1853	6057
164	1863	6041
165	1874	6028
166	1885	6017
167	1895	6001
168	1904	5985
169	1914	5967
170	1920	5942
171	1930	5926
172	1940	5910
173	1950	5895
174	1957	5872
175	1967	5857
176	1977	5842
177	1989	5832
178	1998	5817
179	2008	5802
180	2017	5786
181	2026	5769
182	2036	5753
183	2046	5738
184	2055	5722
185	2065	5707
186	2075	5692
187	2084	5678
188	2095	5664
189	2104	5650
190	2114	5635
191	2124	5620
192	2134	5606
193	2143	5591
194	2153	5576
195	2163	5562
196	2172	5547
197	2182	5533
198	2193	5522
199	2206	5515
200	2219	5509
201	2230	5499
202	2257	5526
203	2266	5511
204	2276	5496
205	2286	5482
206	2295	5467
207	2305	5452
208	2314	5438
209	2334	5448
210	2344	5433
211	2366	5446
212	2375	5431
213	2385	5416
214	2394	5401
215	2414	5410
216	2424	5396
217	2434	5383
218	2444	5369
219	2454	5355
220	2477	5369
221	2487	5356
222	2502	5352
223	2517	5349
224	2531	5344
225	2544	5337
226	2555	5325
227	2565	5310
228	2575	5297
229	2585	5283
230	2595	5269
231	2605	5255
232	2615	5242
233	2625	5228
234	2634	5213
235	2644	5198
236	2655	5187
237	2666	5176
238	2677	5164
239	2688	5152
240	2698	5138
241	2708	5125
242	2717	5110
243	2726	5096
244	2736	5081
245	2745	5066
246	2755	5053
247	2765	5039
248	2774	5025
249	2784	5011
250	2793	4997
251	2804	4985
252	2813	4971
253	2823	4957
254	2832	4943
255	2843	4931
256	2852	4917
257	2862	4903
258	2869	4886
259	2879	4873
260	2889	4860
261	2899	4847
262	2908	4833
263	2918	4820
264	2928	4807
265	2938	4793
266	2947	4780
267	2957	4767
268	2967	4754
269	2976	4740
270	2986	4728
271	2996	4715
272	3006	4702
273	3016	4689
274	3028	4680
275	3037	4666
276	3047	4653
277	3056	4640
278	3066	4627
279	3077	4616
280	3086	4603
281	3096	4589
282	3106	4577
283	3116	4564
284	3125	4551
285	3135	4538
286	3144	4525
287	3153	4511
288	3163	4498
289	3173	4486
290	3183	4474
291	3192	4461
292	3201	4447
293	3211	4434
294	3221	4423
295	3231	4410
296	3241	4397
297	3251	4385
298	3261	4373
299	3270	4360
300	3280	4348
301	3290	4336
302	3300	4324
303	3310	4312
304	3320	4300
305	3343	4304
306	3353	4293
307	3363	4281
308	3373	4268
309	3390	4265
310	3400	4253
311	3410	4241
312	3421	4229
313	3431	4218
314	3440	4205
315	3450	4193
316	3460	4181
317	3471	4169
318	3480	4157
319	3490	4145
320	3517	4153
321	3533	4148
322	3543	4136
323	3554	4125
324	3564	4112
325	3573	4099
326	3583	4087
327	3593	4075
328	3603	4063
329	3613	4051
330	3623	4039
331	3633	4027
332	3642	4014
333	3652	4002
334	3662	3990
335	3672	3978
336	3682	3966
337	3692	3954
338	3702	3942
339	3712	3930
340	3722	3919
341	3732	3907
342	3742	3894
343	3753	3884
344	3763	3873
345	3774	3861
346	3787	3852
347	3799	3843
348	3810	3832
349	3822	3822
350	3848	3826
351	3860	3816
352	3897	3831
353	3908	3819
354	3919	3809
355	3932	3799
356	3943	3788
357	3954	3778
358	3967	3768
359	3979	3758
360	3990	3747
361	4002	3737
362	4015	3727
363	4029	3719
364	4042	3710
365	4055	3700
366	4068	3692
367	4084	3685
368	4100	3677
369	4114	3669
370	4127	3660
371	4142	3652
372	4155	3642
373	4167	3632
374	4181	3623
375	4193	3613
376	4204	3602
377	4217	3592
378	4229	3581
379	4245	3574
380	4256	3563
381	4267	3552
382	4279	3542
383	4293	3533
384	4305	3522
385	4318	3512
386	4333	3504
387	4345	3494
388	4356	3482
389	4366	3470
390	4378	3460
391	4389	3449
392	4401	3438
393	4414	3428
394	4426	3418
395	4450	3416
396	4462	3405
397	4472	3394
398	4484	3382
399	4498	3373
400	4509	3362
401	4521	3351
402	4532	3340
403	4545	3330
404	4556	3319
405	4577	3314
406	4588	3303
407	4599	3291
408	4611	3280
409	4622	3269
410	4632	3257
411	4644	3246
412	4656	3235
413	4674	3229
414	4684	3217
415	4696	3205
416	4707	3194
417	4718	3183
418	4729	3171
419	4741	3160
420	4751	3149
421	4765	3139
422	4781	3131
423	4792	3119
424	4803	3108
425	4813	3095
426	4825	3085
427	4835	3073
428	4845	3061
429	4856	3049
430	4866	3037
431	4876	3025
432	4886	3013
433	4896	3001
434	4908	2990
435	4919	2978
436	4929	2966
437	4940	2955
438	4950	2942
439	4971	2937
440	4980	2924
441	4989	2912
442	4999	2900
443	5009	2888
444	5018	2875
445	5028	2863
446	5038	2851
447	5049	2840
448	5059	2828
449	5068	2816
450	5078	2803
451	5088	2791
452	5097	2779
453	5107	2767
454	5118	2755
455	5128	2744
456	5144	2735
457	5156	2724
458	5167	2713
459	5178	2701
460	5189	2690
461	5200	2679
462	5224	2674
463	5236	2663
464	5246	2651
465	5258	2640
466	5271	2630
467	5282	2618
468	5293	2607
469	5306	2596
470	5318	2585
471	5329	2574
472	5341	2563
473	5353	2552
474	5367	2542
475	5378	2530
476	5390	2519
477	5415	2515
478	5426	2503
479	5437	2492
480	5446	2479
481	5456	2467
482	5467	2456
483	5477	2444
484	5488	2433
485	5498	2420
486	5507	2408
487	5517	2397
488	5527	2385
489	5536	2372
490	5545	2360
491	5555	2348
492	5565	2336
493	5576	2325
494	5585	2313
495	5595	2301
496	5605	2289
497	5615	2277
498	5625	2265
499	5635	2254
500	5645	2242
501	5655	2230
502	5664	2218
503	5674	2206
504	5683	2194
505	5692	2182
506	5702	2170
507	5712	2158
508	5723	2147
509	5734	2136
510	5747	2125
511	5757	2114
512	5770	2103
513	5782	2092
514	5796	2082
515	5808	2071
516	5819	2060
517	5833	2049
518	5844	2038
519	5857	2027
520	5869	2016
521	5883	2006
522	5897	1995
523	5918	1988
524	5929	1976
525	5940	1965
526	5953	1954
527	5966	1943
528	5977	1932
529	5989	1921
530	6003	1910
531	6015	1899
532	6027	1888
533	6038	1877
534	6048	1865
535	6058	1853
536	6068	1841
537	6078	1830
538	6087	1818
539	6106	1809
540	6116	1797
541	6125	1785
542	6135	1774
543	6145	1762
544	6155	1750
545	6165	1738
546	6185	1730
547	6195	1718
548	6204	1706
549	6214	1694
550	6224	1683
551	6234	1671
552	6249	1661
553	6259	1649
554	6269	1637
555	6278	1626
556	6288	1614
557	6298	1602
558	6308	1591
559	6317	1579
560	6327	1567
561	6337	1556
562	6347	1544
563	6357	1532
564	6366	1521
565	6376	1509
566	6386	1498
567	6397	1486
568	6423	1478
569	6432	1467
570	6443	1455
571	6453	1444
572	6462	1432
573	6473	1421
574	6487	1410
575	6500	1399
576	6511	1388
577	6522	1376
578	6534	1365
579	6548	1354
580	6559	1343
581	6571	1332
582	6582	1321
583	6594	1309
584	6605	1298
585	6617	1287
586	6628	1275
587	6638	1264
588	6649	1253
589	6661	1242
590	6673	1230
591	6685	1219
592	6698	1208
593	6709	1197
594	6720	1185
595	6732	1174
596	6744	1163
597	6756	1152
598	6772	1141
599	6783	1130
600	6792	1118
601	6802	1107
602	6812	1095
603	6822	1084
604	6832	1072
605	6841	1061
606	6852	1049
607	6861	1038
608	6871	1026
609	6881	1015
610	6891	1003
611	6901	992
612	6910	980
613	6920	969
614	6929	957
615	6939	946
616	6948	934
617	6958	923
618	6968	911
619	6978	900
620	6988	889
621	6998	877
622	7007	866
623	7017	854
624	7026	843
625	7036	831
626	7045	820
627	7056	809
628	7066	797
629	7075	786
630	7085	774
631	7094	763
632	7104	751
633	7113	740
634	7123	729
635	7133	717
636	7142	706
637	7166	696
638	7176	685
639	7186	673
640	7195	662
641	7205	650
642	7215	639
643	7224	628
644	7234	616
645	7244	605
646	7254	594
647	7264	582
648	7275	571
649	7285	560
650	7295	549
651	7305	537
652	7314	526
653	7324	515
654	7333	503
655	7343	492
656	7353	481
657	7363	469
658	7372	458
659	7388	447
660	7397	436
661	7407	425
662	7417	413
663	7427	402
664	7436	391
665	7446	380
666	7456	368
667	7466	357
668	7475	346
669	7485	335
670	7495	323
671	7506	312
672	7515	301
673	7525	290
674	7535	279
675	7544	267
676	7554	256
677	7564	245
678	7574	234
679	7583	223
680	7592	211
681	7601	200
682	7611	189
683	7620	178
684	7630	167
685	7640	155
